Rekrutacja ukryta	27797
Jeronimo Martins Polska S.A.	19977
Hays Poland	15112
Work Service	13822
Goldman Recruitment	9928
ALIOR BANK	9663
Michael Page	8675
PKO Bank Polski SA	6793
Grafton Recruitment	6784
CREDIT SUISSE Poland	6319
GRUPA PZU	6032
mBank S.A.	5799
Bank BGŻ BNP Paribas	5666
Advisory Group TEST Human Resources	5609
Raiffeisen Polbank	5246
Adecco Poland	5236
UBS	4858
Bank Zachodni WBK S.A.	4779
Adecco Poland Sp. z o.o.	4752
Reed  Personnel Services Poland	4725
NEONET S.A.	4633
HM	4577
T-Mobile	4467
Relyon Recruitment  IT Services	4454
Arche Consulting Sp. z o.o.	4309
ING Bank Śląski S.A.	4210
HSBC Service Delivery (Polska)	4169
Idea Bank SA	3984
Media Expert	3984
Spring Professional Poland	3897
Solid Security Sp. z o.o. 	3869
Credit Agricole Bank Polska S.A.	3854
Grupa Progres	3816
TAX CARE S.A.	3780
Eurocash S.A.	3719
HRK S.A.	3661
Rossmann SDP 	3653
Page Personnel	3643
Stokrotka Sp. z o.o.	3544
ABB	3536
EY (dawniej Ernst  Young)	3432
Crossover	3422
Relyon Recruitment Sp. z o. o.	3249
Samsung RD Institute Poland	3205
Getin Noble Bank S.A.	3158
Randstad Finance (Randstad Professionals) 	3152
Antal Engineering  Operations 	3123
PwC	3026
Accenture Operations	3018
LPP S.A.	3015
UPC Polska	3006
Lidl Sp z o.o. Sp. k.	2936
Budimex SA	2922
SII Sp. z o.o.	2860
PLAY	2813
Headhunters sp. z o.o.	2794
ABB Business Services Sp. z o.o.	2781
Trenkwalder	2768
 CPL  Jobs	2739
Transition Technologies S.A.	2691
Lobo	2677
Moltton	2545
EY Global Delivery Services	2525
GRUPA NEUCA	2452
G-Force Sp. z o.o.	2435
Devonshire	2414
Lidl Polska Sp. z o.o.	2406
mFinanse S.A.	2377
Orange Polska	2369
PEOPLE Sp. z o.o.	2367
Philip Morris International w Polsce	2354
Open Finance S.A.	2316
Capgemini Software Solutions Center	2293
Randstad Polska Sp. z o.o.	2284
POLPHARMA S.A.	2274
Capgemini Polska	2226
Deutsche Bank Polska S.A.	2226
Shell Business Operations	2215
MOBICA Ltd. 	2212
KAUFLAND	2188
CPL Jobs	2089
RTV Euro AGD	2089
CCC S.A.	2085
Randstad Polska	2042
Nationale-Nederlanden Usługi Finansowe SA	2010
TNT Express Worldwide (Poland) Sp. z o.o. 	1986
Randstad Polska (Oddział Warszawa Centrum)	1981
eurobank	1975
Randstad Technologies (Randstad Professionals) 	1943
Żabka Polska sp. z o.o.	1922
PGB Human Resources	1913
SUPER-PHARM 	1889
Randstad Polska (Oddział Poznań)	1862
Accenture	1859
Stefczyk Finanse	1841
arvato Polska	1809
Randstad Engineering (Randstad Professionals) 	1803
Faurecia	1797
HILTI	1788
Aon	1784
Citi Handlowy	1768
Kelly Services Poland Sp. z o.o.	1761
Deloitte Polska	1736
Accenture 	1711
Leroy Merlin Polska Sp. z o.o.	1693
Zeitmann 	1693
THESAR-PRO Sp. z o.o.	1678
DPD Polska	1646
Siemens Sp. z o.o	1646
RTV EURO AGD	1638
MAKRO Cash  Carry Polska S.A.	1636
State Street	1629
Sigmar Recruitment Poland Sp. z.o.o	1610
Citi Service Center	1600
AGATA Spółka Akcyjna	1599
ING Services Polska sp. z o.o.	1577
Gi Group	1566
BZ WBK LEASING S.A.	1554
Diverse Consulting Group Sp. z o.o.	1554
GC Energy Sp. z o.o.	1550
Grupa Pracuj	1536
eService Sp. z o.o.	1531
Liberty Poland S.A.	1530
Polska Spółka Gazownictwa sp. z o.o.	1526
ELEKTROBUDOWA SA	1522
devire	1496
ManpowerGroup Solutions II	1488
Saint- Gobain	1484
KAZAR Footwear Sp. z o.o.	1480
ASTEK Polska	1479
Sygnity S.A.	1472
Arche Consulting Sp z o.o. Sp. k.	1465
Fujitsu Technology Solutions Sp. z o.o.	1458
Lidl Polska Sklepy Spożywcze Sp. z o.o. Sp.k. 	1455
MediaExpert	1455
Martes Sport Sp. z o. o.	1453
Weegree	1453
Home Broker S.A.	1440
ROHLIG SUUS Logistics S.A 	1433
Finance Care 	1429
PMICombera Sp. z o.o.	1429
Kompania Piwowarska	1425
Jeronimo Martins Drogerie i Farmacja Sp. z o.o.	1421
Tarczyński S.A.	1394
AVIVA 	1383
Asseco Poland S.A.	1369
Nokia Networks 	1366
DEKRA Praca	1354
VOS LOGISTICS Polska	1353
Expander	1350
JTI Polska sp. z o.o.	1339
Brown Brothers Harriman	1334
Manpower CoRE	1328
Orbis S.A. 	1307
AVIVA	1302
Schneider Electric Polska Sp. z o.o.	1302
Bergman Engineering Sp. z o.o.	1287
Lidl sp. z o. o. sp. k.	1278
Billennium sp. z o.o.	1267
Ruch S.A.	1266
Trenkwalder Benefit	1266
Raben Logistics Polska sp. z o.o.	1265
TUiR WARTA S.A.	1264
Tesco Polska 	1261
CEMEX Polska Sp. z o.o.	1244
ZF TRW	1244
Randstad Polska (Oddział Katowice)	1237
Nestlé Polska S.A.  	1234
Bank Millennium S.A.	1229
LeasingTeam Group	1229
DSV ISS	1226
Wyser Sp. z o.o.	1225
OTTO Polska Sp. z o.o. 	1222
Schenker Sp. z o.o.	1221
Bank Ochrony Środowiska S.A.	1220
Accenture Technology	1218
CARRY Sp. z o.o.	1218
British American Tobacco	1213
 AMAZON FULFILLMENT POLAND SP Z O O	1198
Randstad Polska (Oddział Kraków)	1195
EY Global Services	1193
TACTICA Pharmaceuticals	1190
TUV Rheinland Group	1184
Telit Management Sp. z o. o.	1172
DPM Sp. z o.o.	1168
Grupa Eurocash – Eurocash CashCarry	1166
IT KONTRAKT	1163
TUI Group	1161
MONDI Polska	1160
Douglas Polska Sp. z o.o.	1155
Polska Press Sp. z o.o. 	1155
KRUK S.A.	1148
Europejskie Centrum Odszkodowań 	1145
PLUS BANK S.A.	1145
EDF Polska S.A.	1138
PZU Życie SA	1133
eConsulting Sp. z o. o.	1130
Jeronimo Martins Drogerie i Farmacja Sp. z o.o. (hebe)	1126
Alior Leasing	1124
BSH Sprzęt Gospodarstwa Domowego Sp. z o.o.	1108
SKLEPY KOMFORT S.A.	1106
Bank BPH S.A. 	1100
Aptiv	1094
Citi Service Center Poland	1092
Jungheinrich Polska Sp. z o.o. 	1091
Rödl  Partner	1081
Kasa Stefczyka	1080
Adamed Sp. z o.o.	1079
KRKA-POLSKA Sp. z o.o.	1077
DHL	1074
Santander Consumer Bank SA	1067
Delphi Poland S.A.	1063
Bayer	1062
JOBHOUSE	1059
Foton Technik Sp. z o.o. 	1049
Legend HR Advisors	1048
DEICHMANN - OBUWIE Sp. z o.o.	1038
Mettler-Toledo Sp. z o.o.	1037
Capgemini Polska Sp. z o.o.	1028
JAS-FBG S.A.	1027
JCommerce S.A.	1027
Bank Gospodarstwa Krajowego	1026
Polkomtel Sp. z o.o.	1023
Randstad Polska (Oddział Wrocław)	1021
IBM Client Innovation Center	1018
Animex	1016
ASTEK Polska Sp. z o.o.	1011
Qumak S.A.	1010
Decathlon Sp. z o.o.	1009
Grupa Allianz Polska	1005
Bank Polskiej Spółdzielczości S.A. 	1003
Farmacol S.A. 	1000
Nexteer Automotive Poland Sp. z o.o.	994
Würth Polska Sp. z o.o.  	994
Domino Executive Search	988
Robert Bosch Sp. z o.o.	981
Philips	980
FM Logistic	978
Biofarm	977
Nationale-Nederlanden	977
Oney Polska S.A.	970
MS SERVICES SP. Z O.O.	967
Accenture Consulting	962
LUX MED Sp. z o.o.	962
Unilever Polska Sp. z o.o.	952
Rockwell Automation Sp. z o. o.	951
LOGART 	948
De Gruyter Open Sp. z o.o.	947
Poczta Polska Spółka Akcyjna	947
HSK CONSULTING	945
Grupa Most Wanted Sp. z o.o.	944
Orsay	943
OTTO Work Force Polska Sp. z o.o. 	939
CBRE Corporate Outsourcing Sp. z o.o.	937
Atos Global Delivery Center Polska Sp. z o.o. spółka komandytowa	936
Stanley Black  Decker	929
Carrefour Polska Sp z o.o.	927
InterKadra Sp. z o.o.	922
getBack S.A.	917
Auto Partner S.A.	915
USP Zdrowie	909
GP dla firm	901
MONDI Pro	899
Antal SSC\BPO	894
VP Valeant Sp. z o.o. sp. j.	892
ManpowerGroup	891
Orange Retail	881
Carlsberg Polska	879
Danone Sp. z o.o.	879
Mondelez International w Polsce	875
Capgemini  Polska	871
McKinsey EMEA Shared Services Sp. z o.o. 	869
Raben Transport Sp. z o.o.	868
Bank Pekao	866
PKP Energetyka S.A.	866
Pure HealthFitness Sp. z o.o.	865
Promedica24	858
Horyzont S.C.Bartosz Nestorowicz, Joanna Nestorowicz	857
AmRest Sp. z o.o.	856
Netia	856
Qubus Hotel Management Sp. z o.o.	853
Sanpro Consulting BPO Sp. z o.o. Sp k.	853
TRANS POLONIA S.A.	853
Polskie Linie Lotnicze LOT	850
IPK Sp. z.o.o.	848
Nexio Management Sp. z o.o.	844
PKO Leasing SA	843
Nordea Bank AB SA Oddział w Polsce	842
Heisterkamp Transport Sp. z o.o.	840
Jones Lang LaSalle Sp. z o.o.	839
Eniro Polska Sp. z o.o.	838
Medicover	834
KPMG	831
Elavon Merchant Services	830
ProData Consult Polska	823
Lagardere Travel Retail	822
Europejskie Centrum Odszkodowań S.A.	821
Vision Express Polska Sp. z o.o.	819
Manpower Wrocław Swobodna	815
Tesco Polska	808
eobuwie.pl	805
Adreams	804
SMYK S.A.	804
CONNECTIS_ 	803
Nationale-Nederlanden Usługi Finansowe SA 	802
Coca - Cola HBC Polska Sp. z o.o. 	801
Komputronik S.A.	799
WGN - NIERUCHOMOŚCI	798
AUDIOFON	795
Randstad Polska (Oddział Szczecin)	794
CUK Ubezpieczenia	793
Sodexo Polska	793
AUTOLIV POLAND Sp. z o.o.	788
Sandoz Polska Sp. z o.o.	785
GlobalLogic Poland	781
Team Connect Sp. z o.o.	780
Wall Street Invest Group	779
Job Impulse Polska	772
TUnŻ WARTA S.A.	765
General Logistics Systems Poland Sp. z o.o.	746
Mercuri Urval Sp. z o.o.	742
Bocian Pożyczki	736
IBM BTO Business Consulting Services Sp. z o.o.	734
Grupa PCC	733
JobMe 	733
AFLOFARM FARMACJA POLSKA SP. Z O.O.	732
Farutex Sp. z o.o.	732
BNP Paribas Securities Services 	731
Diebold Nixdorf	731
Comarch SA	726
T-Mobile Usługi Bankowe	726
Freedom Nieruchomości Sp. z o.o. Sp. k.	725
LINDE Material Handling Polska Sp. z o.o. 	725
CEVA Logistics Poland Sp. z o.o.	723
Grupa Generali 	722
De Rooy Poland Sp. z o.o.	719
Broker HR	716
Infosys BPO Poland Sp. z o.o.	716
Hemmersbach Central Support Spółka z o.o. Sp. k. 	715
Aegon Premium	712
NDG MEDICAL Sp. z o.o.	709
HCL Poland	708
BP Polska Services Sp. z o.o.	707
Brenen Polska	707
Dom Kredytowy NOTUS S.A.	705
Inter Cars S.A.	704
Grupa Maspex Wadowice	701
International Paper Polska	700
Leasing-Experts Franczyza	699
S-lab Sp. z o.o.	697
Grupa Eurocash – Eurocash Dystrybucja	694
Natek Poland	694
DGS Poland Sp. z o.o.	692
L’Oréal	692
Lionbridge Poland Sp. z o.o.	691
Mauffrey Polska Sp. z o.o. 	691
SGS Polska Sp. z o.o.	690
Frito Lay Poland 	689
CH2M	688
Grupa Akcja Job	687
Maspex	686
Orange Polska 	685
DHL Parcel	684
Eurocash Franczyza	683
Duon Sprzedaż sp. z o.o.	682
Aspiro S.A.	680
XL Tape-International Sp. z o.o.	680
About You.Pl Sp. z o.o.	679
Thomson Reuters	679
LINK Sp. z o.o.	678
Experis	677
F.L. Polska Sp. z o.o.	677
Roche Polska Sp. z o.o.	676
AXA	671
Grupa Nowy Styl 	671
TELL Sp. z o.o.	670
ABC-Czepczyński Sp.z o.o. Sp.k	669
NIELSEN	669
Formanway	668
Nationale-Nederlanden 	668
Weegree 	668
Accenture Strategy	662
Energomix Sp. z o.o.	662
VIAMIND Sp. z o.o.	662
EUVIC Sp. z o.o	658
Samsung Electronics Polska	657
Ship Center	656
InPost S.A. 	655
PROVIDENT Polska	655
Mars Polska Sp. z o.o.	654
Nauczycielska Agencja Ubezpieczeniowa S.A.	654
BIGRAM S.A.	653
Radfarm Spółka z ograniczoną odpowiedzialnością Sp.k.	653
TextilMarket	652
Altkom Akademia S.A.	650
CASTORAMA POLSKA	650
QIAGEN BUSINESS SERVICES 	650
Top Secret	645
Sephora Polska Sp. z o.o.	644
AVON	643
FedEx Express	643
StepStone Services Sp. z o.o.	643
PPG Industries Poland	642
Whoohoo Poland Sp. z o.o.	642
Roos Spedition Sp.z.o.o.	637
Przedsiębiorstwo Dystrybucji Farmaceutycznej SLAWEX” Sp. z o.o.	636
3W Dystrybucja Budowlana S.A.	635
FedEx Express Polska Sp. z o. o. 	634
Solid Bridge Solutions Sp. z o.o.	631
Quad\Graphics Europe Sp. z o.o. 	630
OBI Market Budowlany	628
Infosys Poland Sp. z o.o.	626
Rainbow Tours S.A.	622
INEA S.A.	621
Nowa Era sp. z o.o.	621
Reed Global	620
In-tech Rusztowania Sp. Z o.o.	618
PEKABEX	617
Randstad Polska (Oddział Gdańsk)	617
FM Bank PBP S.A.	615
Trans.eu	614
MKM Support	612
Exact Systems S.A.	611
Idea Leasing S.A.	608
Nordea IT	606
PeekCloppenburg Sp. z o.o.  	604
Tieto Poland Sp. z o.o.	603
Target PRO	601
Skanska S.A.	600
Cyfrowy Polsat S.A.	599
Grupa Ubezpieczeniowa UNIQA	599
ZF Group	599
PKN ORLEN S.A.	598
VAN GRAAF GmbH Sp.k.	598
Randstad Polska (Oddział Warszawa Mokotów)	597
CPL Integrated Services	596
EMPIK Spółka Akcyjna	596
New Yorker	595
Flextronics International Poland Sp. z o.o.	594
JYSK Sp z o.o.	592
Inicjatywa Mikro	591
ACS Słuchmed Sp. z o.o.	589
Grupa CIECH	588
Onninen Sp. z o. o.	588
LIBRA EUROPE	585
CEDC International Sp. z o.o. 	583
WINKELMANN Sp. z o.o.	582
mLingua Sp. z o.o.	582
CORNING OPTICAL COMMUNICATIONS POLSKA SP. Z O.O.	581
ZeroChaos Sp. z o.o.	580
UTC AEROSPACE SYSTEMS 	578
Berlitz Poland	576
Balex Metal Sp. z o.o.  	575
PROFI CREDIT POLSKA S.A.	573
Eurocash Serwis Sp. z o.o.	572
Ericsson	570
PwC Service Delivery Center	570
PKO BP Finat sp. z o.o.	569
Saint-Gobain	568
Cursor S.A.	567
Omega Kancelarie Prawne	566
Justus	565
Randstad Polska (Oddział Łódź)	565
Mecalux Sp. z o.o.	564
Małpka S.A.	563
Devire	561
Kuehne,Nagel Sp. z o.o.	561
Empik sp. z o.o.	560
Praktiker Polska Sp. z o.o	558
Reed	558
YES Biżuteria	557
Arcese Polska Sp. z o.o.	556
Recruit Europe 	556
SANOFI	556
Estee Lauder (Poland) Sp. z o.o.	555
Berlin-Chemie\Menarini Polska Sp. z o.o.	554
UniKadr Biuro Doradztwa Personalnego	554
HS Transport sp. z.o.o.	553
Atos Polska	552
Lavard	552
Audiofon	551
Nowa Itaka Spółka z o.o.	551
DUHABEX Sp z o.o.	545
Hudson Global Resources	545
Capita (Polska) Sp. z o.o.	544
GSK SERVICES SP Z O O	544
Adore HR	543
medicine	543
Transgourmet Polska Sp. z o. o.	541
McCormick Shared Services	540
Reca Polska Sp. z o.o.	540
Dino Polska S.A.	539
MBE Poland Sp. z o.o.	539
KUBENZ SP Z O O	538
Mindbox S.A.	538
Work Service International Sp. z o.o. 	537
iView Recruitment Sp. z o. o.	537
Asistnet Work Group 	536
ArcelorMittal Poland S.A.	535
Triumph International Polska Sp. z o.o	535
Big Star	534
COSTA COFFEE POLSKA SA	534
Ciklum	534
MOTA-ENGIL CENTRAL EUROPE S.A.	532
Carlsberg Shared Services	531
TABAK POLSKA Sp. z o.o.	531
Tchibo Warszawa Sp. z o.o.	531
Grupa Ergo Hestia	529
NUTRICIA Polska Sp. z o.o.	529
SKAT Transport Sp. z o.o.	529
Simply Market	529
Media Impact Polska Sp. z o.o.	528
SMYK	528
ELBUD  Warszawa	527
Wawel SA	525
EDUN Korepetycje	524
LYRECO Polska SA	523
Automotive Assembly Systems Sp. z o.o.	522
Grupa DBK	520
BERNER POLSKA Sp. z o.o.	518
FBSERWIS S A	518
SM LOGISTIC Sp. z o.o.	518
Grupa Wirtualna Polska	517
KONE Sp. z o.o.	517
WABCO Polska	517
Zespół Sprzedażowy sp. z o.o.	516
Benefit Systems  S.A.	515
Kramel	514
Optima  SP. Z O.O.	514
Work Service 24 GmbH	514
Job Impulse Polska Sp. z o.o.	513
GEFCO Polska	512
Target PRO Sp. z o.o. Sp. k. 	512
MCFARLANE KYNN SP Z O O 	509
AmRest Sp.z o.o.	508
Objectivity Bespoke Software Specialists Sp. z o.o.	508
Polimex-Mostostal S.A.	507
mBank	506
Bank Pocztowy S.A.	505
ALSTAL Grupa Budowlana  Sp. z o.o. Sp.k.	504
Apteka Niezapominajka	504
Klimas Sp. z o.o.	504
Westwing.pl 	504
Work Service Express	504
LEK-AM Sp. z o.o.	503
PRIMA MODA S.A.	503
Polwell Sp. z o.o.	502
XPO Logistics	501
Citronex Trans Logistic Sp. z o.o.	500
Mostostal Warszawa S.A.	500
ZPUE S.A.	500
Naj International Sp. z o.o.	497
Bascon Pro Logistic	496
IGLOTEX	496
Porsche Inter Auto Polska Sp. z o.o.	496
ENERGA – OPERATOR SA	495
DACHSER Sp. z o.o. 	493
ENERGA - OBRÓT S.A.	493
Firma Testowa PD	492
ProofHQ	492
The Lorenz Bahlsen Snack-World Sp. z o.o.	492
Volkswagen Group Polska	491
Grupa Eurocash – Eurocash Gastronomia	490
Nordea Operations Centre	490
Stora Enso Poland S.A.	490
